Designator,Mid X,Mid Y,Rotation,Layer
D1,115.04,-102.0,0.0,top
D2,133.85,-102.0,0.0,top
D3,152.85,-102.0,0.0,top
D4,172.04,-102.0,0.0,top
D5,114.85,-121.0,0.0,top
D6,133.85,-121.0,0.0,top
D7,152.85,-121.0,0.0,top
D8,172.04,-121.0,0.0,top
J1,164.85,-70.27,0.0,top
SW1,116.85,-89.91,0.0,top
SW2,135.9,-89.91,0.0,top
SW3,154.95,-89.91,0.0,top
SW4,174.0,-89.91,0.0,top
SW5,116.85,-108.96,0.0,top
SW6,135.9,-108.96,0.0,top
SW7,154.95,-108.96,0.0,top
SW8,174.0,-108.96,0.0,top
SW9,176.6,-70.655,0.0,top
U1,116.35,-70.212015,0.0,top
